iter	Passed	Remaining
619	13563	8313
620	13590	8294
621	13612	8272
622	13633	8249
623	13653	8226
624	13671	8203
625	13690	8179
626	13710	8156
627	13729	8132
628	13755	8113
629	13777	8091
630	13802	8071
631	13822	8048
632	13842	8025
633	13861	8002
634	13879	7978
635	13898	7954
636	13917	7930
637	13937	7907
638	13956	7884
639	13978	7863
640	14005	7843
641	14028	7822
642	14050	7800
643	14069	7777
644	14089	7754
645	14110	7732
646	14130	7709
647	14150	7686
648	14172	7665
649	14195	7643
650	14222	7624
651	14242	7602
652	14262	7578
653	14281	7555
654	14299	7532
655	14320	7509
656	14339	7486
657	14360	7464
658	14380	7441
659	14404	7420
660	14430	7400
661	14450	7378
662	14467	7353
663	14486	7330
664	14507	7308
665	14526	7285
666	14546	7262
667	14565	7239
668	14587	7217
669	14609	7195
670	14636	7176
671	14656	7153
672	14675	7130
673	14695	7107
674	14714	7084
675	14735	7062
676	14754	7039
677	14775	7017
678	14797	6995
679	14824	6976
680	14869	6965
681	14898	6946
682	14931	6930
683	14952	6907
684	14972	6885
685	14991	6862
686	15013	6840
687	15038	6819
688	15064	6799
689	15084	6777
690	15104	6754
691	15123	6731
692	15144	6708
693	15164	6686
694	15183	6663
695	15202	6639
696	15224	6618
697	15248	6597
698	15275	6577
699	15297	6556
700	15317	6533
701	15337	6510
702	15357	6488
703	15378	6465
704	15400	6444
705	15421	6421
706	15448	6402
707	15479	6384
708	15503	6363
709	15524	6341
710	15546	6319
711	15567	6296
712	15587	6274
713	15608	6251
714	15626	6228
715	15648	6207
716	15672	6185
717	15699	6166
718	15722	6144
719	15742	6122
720	15761	6098
721	15779	6075
722	15800	6053
723	15819	6030
724	15837	6007
725	15861	5986
726	15883	5964
727	15909	5944
728	15929	5921
729	15951	5899
730	15970	5876
731	15986	5853
732	16005	5830
733	16025	5807
734	16043	5784
735	16064	5762
736	16083	5739
737	16108	5718
738	16133	5698
739	16154	5675
740	16172	5652
741	16191	5630
742	16210	5607
743	16227	5583
744	16244	5560
745	16262	5537
746	16286	5515
747	16310	5494
748	16336	5474
749	16356	5452
750	16378	5430
751	16398	5407
752	16419	5385
753	16437	5362
754	16456	5340
755	16475	5317
756	16498	5295
757	16520	5274
758	16546	5254
759	16566	5231
760	16587	5209
761	16605	5186
762	16625	5164
763	16644	5141
764	16663	5118
765	16683	5096
766	16705	5074
767	16730	5054
768	16758	5034
769	16779	5011
770	16798	4989
771	16820	4967
772	16844	4946
773	16870	4925
774	16893	4904
775	16914	4882
776	16950	4864
777	16989	4848
778	17021	4828
779	17044	4807
780	17062	4784
781	17081	4761
782	17100	4739
783	17123	4717
784	17145	4695
785	17172	4675
786	17192	4653
787	17211	4630
788	17230	4607
789	17249	4585
790	17266	4562
791	17286	4539
792	17306	4517
793	17327	4495
794	17352	4474
795	17378	4453
796	17399	4431
797	17418	4409
798	17438	4386
799	17458	4364
800	17477	4341
801	17495	4319
802	17512	4296
803	17533	4274
804	17553	4252
805	17578	4231
806	17600	4209
807	17622	4187
808	17641	4164
809	17660	4142
810	17678	4119
811	17698	4097
812	17718	4075
813	17737	4053
814	17759	4031
815	17785	4010
816	17807	3988
817	17827	3966
818	17848	3944
819	17867	3922
820	17887	3899
821	17906	3877
822	17925	3855
823	17948	3833
824	17970	3811
825	17998	3791
826	18017	3769
827	18035	3746
828	18055	3724
829	18076	3702
830	18094	3679
831	18112	3657
832	18129	3634
833	18147	3612
834	18170	3590
835	18195	3569
836	18219	3548
837	18244	3526
838	18264	3504
839	18284	3482
840	18302	3460
841	18327	3439
842	18347	3417
843	18367	3394
844	18390	3373
845	18414	3352
846	18440	3330
847	18460	3308
848	18480	3286
849	18500	3264
850	18518	3242
851	18537	3220
852	18555	3197
853	18576	3175
854	18597	3154
855	18617	3131
856	18641	3110
857	18665	3089
858	18684	3066
859	18702	3044
860	18720	3022
861	18738	2999
862	18761	2978
863	18782	2956
864	18803	2934
865	18832	2913
866	18881	2896
867	18914	2876
868	18939	2855
869	18957	2832
870	18976	2810
871	18996	2788
872	19019	2766
873	19042	2745
874	19065	2723
875	19087	2701
876	19107	2679
877	19126	2657
878	19143	2635
879	19162	2613
880	19182	2591
881	19202	2569
882	19221	2546
883	19241	2524
884	19263	2503
885	19288	2481
886	19310	2460
887	19331	2438
888	19351	2416
889	19369	2393
890	19388	2371
891	19409	2350
892	19430	2328
893	19450	2306
894	19477	2285
895	19500	2263
896	19520	2241
897	19538	2219
898	19557	2197
899	19577	2175
900	19598	2153
901	19619	2131
902	19638	2109
903	19662	2088
904	19686	2066
905	19710	2045
906	19729	2022
907	19749	2001
908	19767	1978
909	19785	1956
910	19806	1935
911	19826	1913
912	19848	1891
913	19873	1869
914	19901	1848
915	19923	1827
916	19941	1804
917	19960	1782
918	19980	1761
919	20000	1739
920	20020	1717
921	20039	1695
922	20061	1673
923	20086	1652
924	20111	1630
925	20132	1608
926	20151	1586
927	20170	1564
928	20189	1543
929	20209	1521
930	20229	1499
931	20249	1477
932	20269	1455
933	20291	1433
934	20314	1412
935	20339	1390
936	20360	1368
937	20380	1347
938	20400	1325
939	20420	1303
940	20438	1281
941	20458	1259
942	20478	1237
943	20498	1216
944	20543	1195
945	20579	1174
946	20612	1153
947	20635	1131
948	20652	1109
949	20671	1087
950	20690	1066
951	20714	1044
952	20737	1022
953	20763	1001
954	20782	979
955	20802	957
956	20822	935
957	20841	913
958	20859	891
959	20876	869
960	20897	848
961	20921	826
962	20943	804
963	20967	783
964	20987	761
965	21009	739
966	21028	717
967	21046	695
968	21065	673
969	21084	652
970	21106	630
971	21128	608
972	21151	586
973	21175	565
974	21196	543
975	21216	521
976	21236	499
977	21255	478
978	21275	456
979	21292	434
980	21313	412
981	21335	391
982	21356	369
983	21384	347
984	21403	325
985	21423	304
986	21443	282
987	21462	260
988	21482	238
989	21501	217
990	21524	195
991	21546	173
992	21570	152
993	21592	130
994	21612	108
995	21632	86
996	21649	65
997	21669	43
998	21689	21
999	21707	0
